,pk_cid,recency,ingesta,frequency,monetary_value,r_quartile,f_quartile,m_quartile,i_quartile,RFMScore,region_code,salary,age,gender,unidades_vendidas_total,em_acount,debit_card
4441,1385101,455,426,15,710,4,1,1,1,411,28.0,204263,60,1,2.0,1.0,0.0
1479,1382470,469,454,16,1080,4,1,1,1,411,24.0,94465,29,1,2.0,1.0,1.0
8495,1404939,325,304,11,350,4,1,1,2,411,28.0,113652,46,2,1.0,1.0,0.0
10168,1377321,493,485,17,250,4,1,1,1,411,28.0,98397,28,2,1.0,1.0,0.0
6092,1381936,319,304,11,580,4,1,1,2,411,37.0,113652,63,2,3.0,1.0,0.0
3272,1377663,491,485,17,810,4,1,1,1,411,28.0,56342,54,1,2.0,1.0,0.0
1579,1384170,459,454,16,1060,4,1,1,1,411,41.0,148997,32,1,2.0,1.0,1.0
2252,1376307,498,485,16,950,4,1,1,1,411,28.0,199390,33,2,3.0,0.0,0.0
10620,1396299,382,365,13,230,4,1,1,1,411,28.0,47882,39,2,1.0,0.0,0.0
3422,1379114,484,454,16,800,4,1,1,1,411,33.0,44836,49,2,2.0,1.0,0.0
9837,1389065,431,426,15,260,4,1,1,1,411,28.0,128714,43,1,2.0,1.0,0.0
10581,1398101,373,365,13,230,4,1,1,1,411,39.0,148730,44,1,1.0,0.0,0.0
10359,1386469,448,426,15,240,4,1,1,1,411,15.0,126165,51,2,1.0,1.0,0.0
11519,1388323,436,426,15,180,4,1,1,1,411,7.0,148262,45,2,1.0,0.0,0.0
11341,1396262,384,365,13,190,4,1,1,1,411,6.0,87095,30,2,1.0,1.0,0.0
2474,1388083,437,426,15,920,4,1,1,1,411,28.0,89206,52,2,2.0,1.0,1.0
11333,1386313,449,426,15,190,4,1,1,1,411,1.0,113652,36,2,1.0,0.0,0.0
7825,1404597,327,304,11,430,4,1,1,2,411,50.0,73378,35,2,2.0,1.0,0.0
10214,1379616,480,454,16,250,4,1,1,1,411,18.0,87450,67,2,1.0,1.0,0.0
3447,1391169,415,395,14,800,4,1,1,1,411,8.0,255659,33,1,2.0,1.0,1.0
5358,1380209,478,454,16,640,4,1,1,1,411,43.0,68837,34,1,1.5,1.0,0.5
5795,1403638,333,304,11,600,4,1,1,2,411,28.0,122449,87,1,3.0,1.0,0.0
9915,1390263,423,395,14,260,4,1,1,1,411,15.0,114076,40,1,1.0,1.0,0.0
7332,234244,375,334,12,480,4,1,1,1,411,28.0,628796,46,2,1.0,0.0,0.0
483,1376602,497,485,17,1480,4,1,1,1,411,28.0,164649,32,2,4.0,0.0,1.0
1320,1384181,459,454,16,1120,4,1,1,1,411,15.0,98050,56,1,3.0,1.0,1.0
11018,1407956,315,304,11,210,4,1,1,2,411,36.0,161930,20,1,1.0,0.0,0.0
9360,1397655,375,365,13,280,4,1,1,1,411,28.0,31825,22,2,1.0,1.0,0.0
7484,1396222,385,304,11,460,4,1,1,2,411,28.0,307627,32,1,2.0,1.0,1.0
7198,66770,367,365,13,490,4,1,1,1,411,18.0,113652,46,1,1.0,0.0,0.0
11755,1408129,314,304,11,170,4,1,1,2,411,8.0,128722,31,1,1.0,1.0,0.0
11545,1400377,358,334,12,180,4,1,1,1,411,28.0,57181,30,1,1.0,1.0,0.0
4091,1390167,424,395,14,740,4,1,1,1,411,15.0,163918,32,1,3.5,0.0,0.0
47,1385703,451,395,14,2230,4,1,1,1,411,48.0,113652,43,1,6.0,0.0,1.0
6440,1399009,367,365,13,550,4,1,1,1,411,8.0,115393,38,1,2.0,1.0,1.0
7298,1381663,472,454,16,480,4,1,1,1,411,28.0,89458,33,2,1.0,0.0,0.0
9573,1384934,456,454,16,280,4,1,1,1,411,46.0,78730,41,2,1.0,1.0,0.0
4191,1393520,401,395,14,730,4,1,1,1,411,28.0,91914,24,2,2.5,0.0,0.0
8059,1398074,373,334,12,400,4,1,1,1,411,28.0,43586,63,2,2.0,0.0,0.0
613,1383544,463,426,15,1400,4,1,1,1,411,41.0,350267,39,1,3.0,0.0,1.0
11628,973689,466,365,13,180,4,1,1,1,411,28.0,132999,43,1,1.0,1.0,0.0
8763,1387643,441,426,15,330,4,1,1,1,411,10.0,102636,40,2,1.0,1.0,0.0
7711,1390367,422,395,14,440,4,1,1,1,411,28.0,245548,53,2,1.0,1.0,0.0
4216,1399881,361,334,12,720,4,1,1,1,411,41.0,62759,32,1,2.0,1.0,1.0
11415,1377815,491,485,17,190,4,1,1,1,411,29.0,61707,62,1,1.0,1.0,0.0
7150,1396908,380,365,13,490,4,1,1,1,411,47.0,47215,62,1,1.0,1.0,0.0
6978,1401515,347,334,12,510,4,1,1,1,411,33.0,208625,69,2,1.0,0.0,0.0
11136,1406577,317,304,11,200,4,1,1,2,411,8.0,113652,37,2,1.0,0.0,0.0
245,1381746,472,454,16,1700,4,1,1,1,411,30.0,113652,29,2,5.0,1.0,1.0
2318,1381645,472,454,16,940,4,1,1,1,411,20.0,113652,37,1,2.0,1.0,1.0
3437,1374175,508,485,17,800,4,1,1,1,411,28.0,68340,39,1,3.0,0.0,0.0
10610,1409870,311,304,11,230,4,1,1,2,411,27.0,126745,63,1,1.0,1.0,0.0
11035,1394754,394,365,13,210,4,1,1,1,411,28.0,82781,28,2,0.0,0.0,0.0
7566,1403696,333,304,11,460,4,1,1,2,411,47.0,84497,58,2,1.0,1.0,1.0
10399,1399082,366,334,12,240,4,1,1,1,411,19.0,63658,48,2,2.0,1.0,0.0
9297,1378382,487,485,17,290,4,1,1,1,411,19.0,103704,36,2,1.0,1.0,0.0
5479,1397098,379,365,13,630,4,1,1,1,411,46.0,61620,39,2,3.0,0.0,0.0
9367,1394342,395,365,13,280,4,1,1,1,411,28.0,103197,41,1,1.0,1.0,0.0
2882,1418679,305,304,11,860,4,1,1,2,411,28.0,165006,28,1,3.0,0.0,0.0
379,1385118,455,426,15,1570,4,1,1,1,411,28.0,203577,26,2,4.0,0.0,1.0
4681,1401747,346,304,11,690,4,1,1,2,411,7.0,113652,36,1,2.0,1.0,1.0
839,1400645,354,334,12,1280,4,1,1,1,411,43.0,58488,28,1,4.0,0.0,1.0
7964,1399067,367,304,11,410,4,1,1,2,411,24.0,130173,80,1,2.0,1.0,0.0
11585,1401664,347,334,12,180,4,1,1,1,411,8.0,139581,39,2,1.5,1.0,0.0
6727,1407112,316,304,11,530,4,1,1,2,411,46.0,56394,21,2,2.0,1.0,1.0
3393,1396365,382,365,13,800,4,1,1,1,411,40.0,103113,24,1,2.0,0.0,1.0
5763,1405035,325,304,11,610,4,1,1,2,411,2.0,95205,37,1,2.0,1.0,1.0
4459,1389532,429,426,15,710,4,1,1,1,411,28.0,82794,50,1,2.0,1.0,0.0
2218,1396887,380,334,12,960,4,1,1,1,411,16.0,67490,27,1,2.5,0.0,1.0
8337,1389721,428,365,13,370,4,1,1,1,411,46.0,150456,41,2,1.0,1.0,0.0
396,1385661,451,426,15,1540,4,1,1,1,411,28.0,123479,40,2,4.0,0.0,1.0
3088,1378422,486,454,16,840,4,1,1,1,411,45.0,78175,62,2,3.0,0.0,0.0
6682,1418903,304,304,11,530,4,1,1,2,411,37.0,135034,20,1,2.0,1.0,1.0
1121,1400493,357,334,12,1160,4,1,1,1,411,28.0,37583,34,2,4.0,0.0,0.0
5945,1419192,304,304,11,590,4,1,1,2,411,8.0,113652,20,1,2.0,1.0,1.0
6258,1380316,478,426,15,570,4,1,1,1,411,28.0,171506,40,1,1.0,0.0,0.0
4102,1391415,414,395,14,740,4,1,1,1,411,8.0,152002,33,2,2.0,1.0,1.0
8812,1395138,389,334,12,320,4,1,1,1,411,28.0,65889,24,2,1.0,1.0,0.0
862,1376715,494,485,17,1270,4,1,1,1,411,15.0,104966,32,2,2.0,1.0,1.0
5372,1388690,434,426,15,640,4,1,1,1,411,28.0,90699,24,2,2.0,0.0,0.0
3599,1400874,353,334,12,780,4,1,1,1,411,28.0,58707,28,1,2.0,1.0,1.0
9553,1404035,331,304,11,280,4,1,1,2,411,30.0,45606,40,2,1.0,1.0,0.0
518,1385962,450,426,15,1460,4,1,1,1,411,8.0,187987,42,2,3.0,0.0,0.0
8242,1400544,357,334,12,380,4,1,1,1,411,28.0,99144,35,2,1.0,1.0,0.0
9214,1376333,498,485,17,290,4,1,1,1,411,28.0,334518,44,1,1.0,1.0,0.0
9838,1391873,410,395,14,260,4,1,1,1,411,28.0,202464,67,1,1.0,1.0,0.0
7021,1407704,315,304,11,510,4,1,1,2,411,48.0,113652,58,2,2.0,1.0,0.0
11439,1394118,396,365,13,190,4,1,1,1,411,47.0,57019,28,2,1.0,1.0,0.0
1701,1381675,472,454,16,1050,4,1,1,1,411,17.0,113652,45,1,2.0,1.0,1.0
11552,1394059,396,365,13,180,4,1,1,1,411,29.0,113652,25,2,1.0,0.0,0.0
11711,1405702,322,304,11,170,4,1,1,2,411,28.0,155125,35,1,1.0,1.0,0.0
10433,1402769,339,334,12,240,4,1,1,1,411,46.0,82674,55,1,1.0,1.0,0.0
1275,1377110,493,485,17,1130,4,1,1,1,411,17.0,83587,38,1,2.0,1.0,1.0
1744,1378915,484,454,16,1040,4,1,1,1,411,39.0,59345,31,2,3.0,1.0,1.0
1662,1377640,491,485,17,1060,4,1,1,1,411,30.0,64353,29,2,2.0,1.0,1.0
6515,1396124,385,365,13,550,4,1,1,1,411,46.0,41190,38,2,2.0,1.0,1.0
8019,1406642,316,304,11,410,4,1,1,2,411,8.0,295897,20,2,1.0,1.0,0.0
9416,1392096,409,365,13,280,4,1,1,1,411,28.0,61006,24,1,1.0,0.0,0.0
9053,1386984,444,426,14,300,4,1,1,1,411,15.0,113652,24,2,1.0,1.0,0.0
6508,1395272,389,365,13,550,4,1,1,1,411,12.0,113652,30,2,2.0,1.0,1.0
8012,1406939,316,304,11,410,4,1,1,2,411,35.0,175498,53,2,2.0,1.0,0.0
1617,1382432,469,454,16,1060,4,1,1,1,411,46.0,55319,47,1,2.0,1.0,1.0
6067,1410817,311,304,11,590,4,1,1,2,411,26.0,80845,46,2,2.0,1.0,1.0
4007,1375679,501,485,17,750,4,1,1,1,411,18.0,50928,26,2,1.0,1.0,1.0
7918,1400108,360,334,12,420,4,1,1,1,411,28.0,140045,29,1,1.0,1.0,0.0
10293,1387405,442,426,15,240,4,1,1,1,411,28.0,38781,70,2,0.0,0.0,0.0
2168,1380032,479,454,16,970,4,1,1,1,411,23.0,55541,36,1,2.0,1.0,1.0
3833,1381576,472,454,16,760,4,1,1,1,411,28.0,231353,65,2,1.0,0.0,0.0
8481,1402328,343,334,12,350,4,1,1,1,411,28.0,113652,34,1,1.0,0.0,0.0
14,1382878,466,454,16,2650,4,1,1,1,411,39.0,67573,42,2,5.0,0.0,1.0
9178,1395466,388,365,13,290,4,1,1,1,411,2.0,96403,34,2,2.0,1.0,0.0
5434,1403949,332,304,11,630,4,1,1,2,411,29.0,60590,30,2,2.0,1.0,1.0
9170,1376135,499,485,17,290,4,1,1,1,411,7.0,72127,31,1,1.0,1.0,0.0
487,1386673,445,426,15,1480,4,1,1,1,411,39.0,82481,37,1,4.0,0.0,1.0
10236,1381807,472,454,16,250,4,1,1,1,411,12.0,64214,51,2,1.0,1.0,0.0
7691,1391117,415,395,14,440,4,1,1,1,411,29.0,62926,32,1,1.0,1.0,0.0
10091,1397023,379,365,13,250,4,1,1,1,411,36.0,69772,42,1,1.0,1.0,0.0
8339,1398511,371,365,13,370,4,1,1,1,411,28.0,107967,31,2,1.0,1.0,0.0
5130,1401304,351,304,11,650,4,1,1,2,411,3.0,43785,29,2,2.0,1.0,1.0
3025,1398737,368,365,13,850,4,1,1,1,411,23.0,83210,20,2,2.0,1.0,1.0
11700,1375120,504,485,17,170,4,1,1,1,411,47.0,89787,84,2,1.0,1.0,0.0
668,1394910,393,365,13,1370,4,1,1,1,411,28.0,89359,27,2,5.0,0.0,1.0
6458,1377338,493,485,17,550,4,1,1,1,411,13.0,21596,32,1,1.0,0.0,0.0
9706,1388052,437,426,15,270,4,1,1,1,411,31.0,113652,27,2,1.0,1.0,0.0
11533,1378171,487,485,17,180,4,1,1,1,411,30.0,113652,38,2,0.0,0.0,0.0
8201,1408559,312,304,11,390,4,1,1,2,411,48.0,113652,43,1,2.0,0.0,0.0
2536,1382233,470,454,16,920,4,1,1,1,411,39.0,113652,28,2,2.0,1.0,1.0
3678,1401146,352,334,12,780,4,1,1,1,411,47.0,113009,48,2,2.0,1.0,1.0
1713,1382040,471,454,16,1050,4,1,1,1,411,8.0,133240,38,2,3.0,0.0,0.0
1851,1394023,396,365,13,1010,4,1,1,1,411,8.0,137765,92,1,3.0,1.0,1.0
11833,1375227,504,485,17,170,4,1,1,1,411,11.0,35102,26,1,1.0,1.0,0.0
4189,1398161,372,365,13,730,4,1,1,1,411,45.0,165456,32,2,2.0,1.0,1.0
2271,1385037,456,426,15,950,4,1,1,1,411,46.0,73618,37,2,3.0,1.0,1.0
10831,1376803,494,485,17,220,4,1,1,1,411,28.0,184701,30,1,1.0,0.0,0.0
3954,1401727,347,334,12,750,4,1,1,1,411,8.0,213701,35,1,3.0,0.0,0.0
9990,1398913,367,365,13,250,4,1,1,1,411,28.0,271548,75,1,1.0,1.0,0.0
7315,1399927,361,334,12,480,4,1,1,1,411,50.0,57326,39,2,1.5,1.0,0.5
5273,1421211,303,304,11,650,4,1,1,2,411,7.0,113652,39,2,2.0,1.0,1.0
2620,1390869,417,395,14,900,4,1,1,1,411,41.0,51412,53,1,2.0,1.0,1.0
3921,1400804,354,334,12,760,4,1,1,1,411,29.0,47666,40,2,2.5,1.0,0.5
6360,1401164,352,334,12,560,4,1,1,1,411,47.0,97332,61,2,2.0,1.0,0.0
10070,1397797,374,365,13,250,4,1,1,1,411,35.0,124127,27,1,1.0,1.0,0.0
3887,1382912,466,454,16,760,4,1,1,1,411,3.0,113652,67,2,2.0,1.0,1.0
7706,1393075,403,395,14,440,4,1,1,1,411,28.0,66610,23,2,1.0,0.0,0.0
9097,1401773,346,334,12,300,4,1,1,1,411,3.0,51321,53,1,1.0,1.0,0.0
9395,1378252,487,454,16,280,4,1,1,1,411,47.0,57090,41,2,1.0,1.0,0.0
10130,1380628,477,454,16,250,4,1,1,1,411,37.0,88549,45,2,1.0,1.0,0.0
3896,1417167,306,304,11,760,4,1,1,2,411,33.0,57036,59,1,2.0,1.0,1.0
4342,1382894,466,426,15,710,4,1,1,1,411,9.0,85912,24,2,3.0,0.0,0.0
1006,1385738,451,365,13,1200,4,1,1,1,411,13.0,62078,34,1,4.0,0.0,1.0
2473,1376644,497,485,17,920,4,1,1,1,411,35.0,100466,58,2,3.0,0.0,0.0
7764,1381804,472,454,16,430,4,1,1,1,411,35.0,173734,33,2,1.0,1.0,0.0
624,1374257,508,485,17,1390,4,1,1,1,411,18.0,126236,51,2,3.0,1.0,1.0
10198,1381271,473,454,13,250,4,1,1,1,411,18.0,62184,36,2,1.0,0.0,0.0
10657,1395770,387,365,13,230,4,1,1,1,411,28.0,65937,22,1,1.0,0.0,0.0
8546,1407224,316,304,11,350,4,1,1,2,411,28.0,148959,42,1,2.0,1.0,0.0
9859,1375114,504,485,17,260,4,1,1,1,411,8.0,113652,26,2,0.0,0.0,0.0
10988,1386445,448,426,15,210,4,1,1,1,411,28.0,37729,47,2,1.0,1.0,0.0
6429,1403628,333,304,11,550,4,1,1,2,411,50.0,51067,40,1,2.0,1.0,1.0
967,1375856,500,485,17,1210,4,1,1,1,411,28.0,62684,26,1,3.0,0.0,1.0
50,1384393,458,426,15,2230,4,1,1,1,411,8.0,94542,41,1,5.0,0.0,1.0
2960,1394575,394,365,13,850,4,1,1,1,411,11.0,47038,42,2,2.0,1.0,1.0
8877,1401049,352,304,11,320,4,1,1,2,411,8.0,126591,24,1,1.0,1.0,0.0
11331,1385959,450,426,15,190,4,1,1,1,411,48.0,113652,42,1,0.0,0.0,0.0
5579,1393872,398,395,14,620,4,1,1,1,411,41.0,122989,28,2,2.0,1.0,1.0
4115,1397277,378,365,13,730,4,1,1,1,411,28.0,78103,34,2,3.0,1.0,0.0
95,549722,451,426,15,1980,4,1,1,1,411,28.0,100154,40,2,3.0,1.0,1.0
7635,1387466,442,426,15,450,4,1,1,1,411,46.0,27221,34,1,1.0,1.0,0.0
2807,1388139,437,426,15,870,4,1,1,1,411,36.0,97905,49,2,2.0,1.0,1.0
11257,1391425,414,395,14,200,4,1,1,1,411,36.0,118218,39,2,1.0,1.0,0.0
5245,1403522,334,304,11,650,4,1,1,2,411,50.0,44741,31,2,2.0,1.0,1.0
11722,1375108,504,485,17,170,4,1,1,1,411,3.0,28290,38,2,1.0,1.0,0.0
424,1376326,498,485,17,1530,4,1,1,1,411,8.0,128584,39,1,4.0,0.0,1.0
1562,1384527,458,454,16,1060,4,1,1,1,411,41.0,16507,39,2,2.0,1.0,1.0
10317,1397476,375,365,13,240,4,1,1,1,411,28.0,388992,28,1,1.0,0.0,0.0
8218,1410943,311,304,11,380,4,1,1,2,411,28.0,99326,58,2,2.0,0.0,0.0
8971,1395672,387,365,13,310,4,1,1,1,411,35.0,44825,32,2,1.0,1.0,0.0
3745,1384423,458,426,15,770,4,1,1,1,411,29.0,76998,37,1,1.0,0.0,1.0
533,1385401,452,426,15,1450,4,1,1,1,411,11.0,38962,49,2,4.0,0.0,1.0
1421,1375536,501,485,17,1100,4,1,1,1,411,9.0,45319,37,1,3.0,1.0,0.0
744,1401149,352,334,12,1330,4,1,1,1,411,11.0,113652,38,2,4.0,0.0,1.0
218,1388165,437,426,15,1740,4,1,1,1,411,36.0,65519,26,1,4.0,0.0,1.0
214,1385789,451,426,15,1740,4,1,1,1,411,18.0,88634,60,1,4.0,0.0,1.0
1166,1396032,386,365,13,1150,4,1,1,1,411,35.0,113652,33,2,2.0,0.0,1.0
11798,1419864,304,304,11,170,4,1,1,2,411,47.0,60439,33,2,1.0,0.0,0.0
4457,1411585,310,304,11,710,4,1,1,2,411,11.0,41726,32,2,2.0,1.0,1.0
3800,1375432,501,485,17,770,4,1,1,1,411,45.0,113652,33,2,2.0,1.0,1.0
11083,1380354,478,454,16,210,4,1,1,1,411,28.0,111674,24,2,1.0,1.0,0.0
8699,1386614,445,426,15,330,4,1,1,1,411,47.0,77059,33,1,1.0,1.0,0.0
9286,1347591,309,304,11,290,4,1,1,2,411,28.0,96831,65,1,2.0,1.0,0.0
2088,1393284,402,395,14,980,4,1,1,1,411,46.0,80937,40,1,2.0,1.0,1.0
10830,1402165,344,334,12,220,4,1,1,1,411,35.0,94478,32,1,1.0,0.0,0.0
4812,1389268,430,426,15,680,4,1,1,1,411,38.0,149526,63,1,2.0,1.0,0.0
9476,1413889,308,304,11,280,4,1,1,2,411,4.0,78238,31,2,1.0,0.0,0.0
3116,1399695,361,334,12,840,4,1,1,1,411,28.0,88665,53,1,2.0,1.0,1.0
6375,1399477,364,334,12,560,4,1,1,1,411,9.0,93699,62,2,2.0,1.0,0.0
4201,1402316,343,334,12,720,4,1,1,1,411,8.0,90722,39,2,2.0,1.0,1.0
2288,1377786,491,485,17,940,4,1,1,1,411,48.0,113652,50,2,2.0,1.0,1.0
9391,1403169,337,304,11,280,4,1,1,2,411,28.0,144162,56,1,2.0,0.0,0.0
8724,1385823,451,426,15,330,4,1,1,1,411,40.0,59711,34,2,1.0,1.0,0.0
2417,1387631,441,426,15,930,4,1,1,1,411,35.0,55015,58,2,2.0,1.0,1.0
4609,1382850,466,454,16,700,4,1,1,1,411,3.0,73125,50,2,2.0,1.0,1.0
8523,1389455,429,426,15,350,4,1,1,1,411,28.0,482529,39,1,1.0,0.0,0.0
4053,1393633,400,395,14,740,4,1,1,1,411,23.0,49654,48,2,2.0,1.0,1.0
10530,1404700,326,304,11,230,4,1,1,2,411,45.0,116180,40,1,1.0,1.0,0.0
4984,1384120,459,426,15,670,4,1,1,1,411,28.0,113652,75,1,2.0,1.0,0.0
6245,1380026,479,395,14,570,4,1,1,1,411,29.0,73933,41,2,3.0,1.0,0.0
8992,1386364,448,426,15,310,4,1,1,1,411,50.0,87656,38,2,1.0,1.0,0.0
6703,1393285,402,365,13,530,4,1,1,1,411,28.0,60297,26,2,1.0,1.0,1.0
10403,1379699,480,454,16,240,4,1,1,1,411,8.0,135608,50,1,1.0,1.0,0.0
1669,1384911,456,426,15,1050,4,1,1,1,411,7.0,63623,37,2,2.0,1.0,1.0
11502,1388480,435,426,15,180,4,1,1,1,411,34.0,96433,38,2,0.0,0.0,0.0
8918,1388022,437,304,11,310,4,1,1,2,411,46.0,47245,30,1,1.0,1.0,0.0
357,1394394,395,365,13,1590,4,1,1,1,411,8.0,113652,40,1,5.0,1.0,1.0
6669,1395096,389,334,12,530,4,1,1,1,411,29.0,67714,38,1,1.5,1.0,0.5
11013,1393972,396,395,14,210,4,1,1,1,411,28.0,110210,37,1,2.0,1.0,0.0
3592,1399347,365,334,12,780,4,1,1,1,411,41.0,85127,39,2,2.0,1.0,1.0
9009,1390074,424,395,14,310,4,1,1,1,411,46.0,24819,32,2,1.0,1.0,0.0
8694,1382307,470,454,16,330,4,1,1,1,411,10.0,47785,41,2,1.0,1.0,0.0
2522,1378516,486,454,15,920,4,1,1,1,411,21.0,73543,29,2,3.0,0.0,0.0
10336,1388029,437,426,15,240,4,1,1,1,411,32.0,113652,45,2,2.0,1.0,0.0
3742,1413216,309,304,11,770,4,1,1,2,411,31.0,113652,58,2,2.0,1.0,1.0
2627,391068,478,454,16,900,4,1,1,1,411,28.0,69461,65,2,2.0,1.0,0.0
4880,1393652,400,395,14,670,4,1,1,1,411,15.0,98760,35,1,2.0,1.0,1.0
3704,1396383,382,365,13,780,4,1,1,1,411,28.0,68941,77,1,3.0,1.0,0.0
6298,1412726,309,304,11,570,4,1,1,2,411,35.0,95770,44,1,2.0,1.0,1.0
9507,1415809,307,304,11,280,4,1,1,2,411,28.0,196740,41,2,2.0,1.0,0.0
5219,1405588,322,304,11,650,4,1,1,2,411,14.0,41146,37,1,2.0,1.0,1.0
10201,1390381,422,395,14,250,4,1,1,1,411,38.0,231344,74,2,2.0,1.0,0.0
11683,1406185,318,304,11,170,4,1,1,2,411,16.0,105311,21,1,1.0,1.0,0.0
9589,852176,357,304,11,280,4,1,1,2,411,28.0,151079,47,1,1.0,0.0,0.0
7775,1396559,382,365,13,430,4,1,1,1,411,43.0,65528,40,1,1.0,1.0,0.0
2039,1381683,472,426,15,990,4,1,1,1,411,17.0,90423,65,1,2.0,1.0,1.0
6518,1412058,310,304,11,550,4,1,1,2,411,28.0,113652,55,1,3.0,0.0,0.0
11471,1402127,344,334,12,190,4,1,1,1,411,1.0,113652,37,1,1.0,0.0,0.0
6909,1387485,442,395,14,520,4,1,1,1,411,28.0,113348,4,2,1.0,0.0,0.0
3771,1394514,395,365,13,770,4,1,1,1,411,28.0,64513,45,2,2.0,1.0,1.0
4762,1402915,339,334,12,680,4,1,1,1,411,39.0,60509,30,2,3.0,0.0,0.0
7681,46374,319,304,11,440,4,1,1,2,411,28.0,52852,81,1,1.0,0.0,0.0
2119,1407270,316,304,11,980,4,1,1,2,411,28.0,132086,39,2,4.0,0.0,1.0
11393,1382690,466,454,16,190,4,1,1,1,411,28.0,110050,38,2,0.0,0.0,0.0
8159,631007,345,304,11,390,4,1,1,2,411,28.0,166307,46,1,1.0,1.0,0.0
6412,1409426,311,304,11,560,4,1,1,2,411,33.0,113652,57,2,3.0,1.0,0.0
8316,1396719,381,365,13,370,4,1,1,1,411,33.0,45560,59,2,1.0,1.0,0.0
6955,1383090,465,454,16,510,4,1,1,1,411,28.0,103158,41,1,1.0,1.0,0.0
5635,1398930,367,365,13,610,4,1,1,1,411,50.0,76426,40,2,2.0,1.0,0.0
1941,1379502,480,454,16,1000,4,1,1,1,411,19.0,84316,59,2,2.0,1.0,1.0
4397,823955,304,304,11,710,4,1,1,2,411,13.0,25074,45,2,2.0,1.0,1.0
1720,1382080,471,454,16,1050,4,1,1,1,411,21.0,54609,28,1,2.0,1.0,1.0
1864,1382695,466,454,16,1000,4,1,1,1,411,50.0,101951,39,1,2.0,1.0,1.0
6913,1403237,337,304,11,520,4,1,1,2,411,28.0,113652,49,2,1.0,0.0,0.0
7944,1404587,327,304,11,410,4,1,1,2,411,33.0,86863,46,1,1.0,1.0,0.0
5814,1384657,457,454,16,600,4,1,1,1,411,27.0,113652,29,1,1.0,0.0,0.0
8651,1401465,350,334,12,340,4,1,1,1,411,28.0,97494,54,2,0.0,0.0,0.0
7538,1380736,476,454,16,460,4,1,1,1,411,46.0,124372,63,1,1.0,1.0,0.0
10558,1386826,444,426,15,230,4,1,1,1,411,28.0,278884,38,1,1.0,0.0,0.0
2910,1385156,455,395,14,860,4,1,1,1,411,28.0,90964,32,2,2.0,1.0,1.0
3914,1401219,351,334,12,760,4,1,1,1,411,6.0,116430,31,1,3.0,1.0,0.0
11497,1379380,480,334,12,180,4,1,1,1,411,28.0,194236,25,1,1.0,1.0,0.0
3680,1249986,472,454,16,780,4,1,1,1,411,28.0,147713,31,2,1.0,0.0,0.0
9886,1381820,472,454,16,260,4,1,1,1,411,10.0,67405,38,2,2.0,1.0,0.0
5180,1402023,345,334,12,650,4,1,1,1,411,3.0,107427,35,2,3.0,0.0,0.0
6897,1243391,411,395,14,520,4,1,1,1,411,28.0,113652,42,1,1.0,0.0,0.0
9544,1380221,478,454,16,280,4,1,1,1,411,28.0,140471,43,1,1.0,1.0,0.0
3889,1384647,457,454,16,760,4,1,1,1,411,39.0,113652,58,1,2.0,1.0,0.0
1139,1403329,336,304,11,1160,4,1,1,2,411,28.0,92394,50,2,4.0,0.0,1.0
2124,1385715,451,426,15,980,4,1,1,1,411,24.0,139083,29,2,2.0,1.0,0.0
4574,1405575,323,304,11,700,4,1,1,2,411,4.0,113652,39,2,3.0,0.0,0.0
8278,1388328,436,426,15,380,4,1,1,1,411,30.0,13320,24,1,1.0,1.0,0.0
8034,1383966,459,454,16,410,4,1,1,1,411,46.0,44283,57,2,1.0,1.0,0.0
9965,1389684,428,395,14,260,4,1,1,1,411,3.0,109119,36,1,1.0,1.0,0.0
107,1374284,508,485,17,1950,4,1,1,1,411,45.0,55707,43,2,4.0,1.0,1.0
7865,1406521,317,304,11,420,4,1,1,2,411,3.0,50495,69,1,2.0,1.0,0.0
4600,1391821,410,395,14,700,4,1,1,1,411,28.0,141956,25,1,2.0,1.0,0.0
9744,1375509,501,485,17,270,4,1,1,1,411,35.0,73099,38,2,1.0,0.0,0.0
8452,1374505,506,426,15,360,4,1,1,1,411,8.0,113652,54,2,1.0,1.0,0.0
6498,160914,316,304,11,550,4,1,1,2,411,28.0,166184,77,1,2.0,1.0,0.0
10689,1393188,403,395,14,230,4,1,1,1,411,28.0,293564,81,1,1.0,0.0,0.0
1039,1380967,476,454,16,1190,4,1,1,1,411,2.0,38240,30,2,3.0,0.0,0.5
217,1388674,434,426,15,1740,4,1,1,1,411,47.0,199009,53,2,5.0,0.0,1.0
7466,1381961,471,454,16,460,4,1,1,1,411,35.0,113652,20,1,1.0,1.0,0.0
10670,1419176,304,304,11,230,4,1,1,2,411,50.0,113652,20,1,1.0,1.0,0.0
7995,1374514,506,485,17,410,4,1,1,1,411,14.0,113652,35,2,1.0,1.0,0.0
4537,1408495,312,304,11,710,4,1,1,2,411,3.0,113980,39,2,2.0,1.0,1.0
4551,1405090,324,304,11,710,4,1,1,2,411,47.0,92946,48,2,3.0,1.0,0.0
510,1385849,451,426,15,1460,4,1,1,1,411,39.0,93986,40,2,4.0,0.0,1.0
1953,1384347,458,454,16,1000,4,1,1,1,411,41.0,50799,35,2,2.0,1.0,1.0
8187,1377121,493,454,16,390,4,1,1,1,411,17.0,83587,48,2,1.0,1.0,0.0
1430,1379298,483,454,16,1090,4,1,1,1,411,50.0,63455,36,1,2.0,1.0,1.0
